sales,demand_proxy,date,tv_spend_raw,social_spend_raw,search_spend_raw
489.56620848701755,330.8312259531214,2021-01-03,5501.441205839697,5894.90813714128,7182.86456802875
441.1386906080826,317.4613451296439,2021-01-10,2507.9424452584876,5791.555553703664,6312.367780382438
152.309450892389,89.22397011600928,2021-01-17,1049.6614624849926,1081.6427083605663,1429.7408570882894
367.160745164987,169.72943927578743,2021-01-24,3008.9371953522036,5323.913163121868,6185.584938471051
465.0838404775003,349.0473824688271,2021-01-31,3171.4906144744627,6830.64277743756,7227.7835979328875
284.06051621197724,182.21320314288735,2021-02-07,1741.0085704673538,2178.354460420707,3879.5920251761663
420.61669701236616,301.11649781390577,2021-02-14,2066.1488641798533,5437.579206481753,9324.536718760908
384.5006124722604,296.3585688386761,2021-02-21,2734.79069079314,1545.3733314800172,7296.778692198202
402.6108446488066,210.36679340915526,2021-02-28,3632.2296457239377,4304.680014167411,5760.908554830766
379.60034575211444,229.1913735172322,2021-03-07,2893.860870954162,3017.098126100199,5188.542035284296
454.60597890488873,315.05607562622373,2021-03-14,2395.330229902813,6308.079477352238,2632.5154987244214
569.433210581368,375.1132129848271,2021-03-21,5488.704473958961,4507.186204199761,6580.750846935399
310.3866729432684,199.89857179469652,2021-03-28,1243.0780594058722,3818.3763088933506,3329.3103093004916
541.5892952648245,377.021670501207,2021-04-04,4225.113713913484,4526.203201223117,6015.805238067786
453.1083662447603,265.7989651205069,2021-04-11,2349.3505766925,4191.96840522972,6203.875760920909
484.30339098550337,366.13006256272524,2021-04-18,2639.960040516996,4002.2803773280484,10669.185121536786
300.3499172680709,209.86013917690414,2021-04-25,2503.0146848746504,3023.507897183011,4364.363117807943
430.4837720589705,335.9581265260528,2021-05-02,2738.5452990335425,2805.171429167294,5912.460674093812
605.6588864420177,421.90355918431806,2021-05-09,2478.0213494202735,8136.431141242961,6126.726990447211
303.70708812935817,193.57487276103666,2021-05-16,1666.3704669916945,2379.003014202591,5110.206663193538
188.7573662902254,115.47895374489168,2021-05-23,1343.2439696954552,2746.553400788502,2038.1675363686782
203.26794232039848,141.0720672996728,2021-05-30,1039.334543446472,1848.1261982516987,4153.708342583381
460.79715171831714,367.39880168886737,2021-06-06,4554.356617758353,3859.882518829779,6991.697035688247
772.7267205090184,529.1326938841421,2021-06-13,7100.943634245298,9357.298298767742,15593.263862884338
608.32327960211,358.8730135444718,2021-06-20,4275.063454575583,4708.87358630011,9552.455239351504
697.8531424520176,440.1907294345638,2021-06-27,6385.443288550411,8344.426917554203,9659.467124429926
500.3486116512572,330.5626143366911,2021-07-04,4891.920461679669,4073.393688878178,6513.6889876865125
624.6927620711463,475.42162274961305,2021-07-11,1791.725396185699,7608.636626012505,10510.936756626115
425.7030655132237,335.3883319398499,2021-07-18,3695.4477612741052,4184.70108059116,5442.586820305997
523.9701546587021,365.81535732657767,2021-07-25,4276.693105935321,6311.722228800128,3831.035216859103
393.32305494517504,279.053485433856,2021-08-01,2459.7934437644876,3248.5143129910048,2367.3176215559147
358.1101245913892,238.87636543834213,2021-08-08,2916.4174586746635,2926.6277803607313,3816.8187947261254
460.6492969331025,297.97282970777354,2021-08-15,3475.375232569536,6670.080587914411,4687.29718218678
385.49964935143686,268.58650271568325,2021-08-22,2060.5636358347583,5286.062932318796,5295.172126552696
626.5522482711309,442.3867979024115,2021-08-29,6180.505454172464,8180.741064730852,8210.792976583014
476.8602569444237,309.42933083971275,2021-09-05,3292.734420572054,3925.0925862998406,7254.21612779644
517.780427368036,300.5345716396442,2021-09-12,4570.177371514632,6986.760821931562,6287.901028448277
405.2952891396061,260.69430267072124,2021-09-19,2444.8383429428995,3568.572017547192,6168.665415565658
576.8160727244515,407.99938349107856,2021-09-26,2162.5923477331594,6089.393892621532,9353.251152717565
359.4313952387529,256.00522534088424,2021-10-03,2441.598049375584,4495.196965410846,6055.604344578103
510.8883004745827,403.77418922879826,2021-10-10,3428.280130563621,5348.236081458712,5384.406273411455
378.4214425778572,242.726423252947,2021-10-17,1681.0066710800752,4008.1891595876828,2323.5053091983837
301.8185469036086,239.6660119824721,2021-10-24,1056.7929695474174,2907.9189960576414,3492.8587269194772
374.2946938076353,248.14012640510902,2021-10-31,3118.681228552127,3159.3977549393003,6414.296158084479
343.5040514650654,238.81974512020955,2021-11-07,3254.549242060644,2787.931095620174,3782.5439132193205
435.05883599925346,335.30473631431215,2021-11-14,4247.753534359574,4013.1138042436914,5125.850808229323
