date_week,x1,x2,event_1,event_2,y
2018-04-02,0.29475634750002944,0.0,0.0,0.0,7.787554364977544
2018-04-09,0.9383219770800346,0.0,0.0,0.0,8.788563544279496
2018-04-16,0.13973246707638726,0.0,0.0,0.0,8.815248042793312
2018-04-23,0.2617094011204168,0.0,0.0,0.0,8.583921891792368
2018-04-30,0.3746974753004483,0.0,0.0,0.0,8.775527734663532
2018-05-07,0.40870164603667664,0.9366663010185262,0.0,0.0,13.265644854104877
2018-05-14,0.04307570922082704,0.0,0.0,0.0,11.423667539874009
2018-05-21,0.201338857068747,0.0,0.0,0.0,10.16460062939016
2018-05-28,0.1386185813074729,0.0,0.0,0.0,8.925046109411328
2018-06-04,0.9689456565341995,0.0,0.0,0.0,11.115919796746777
2018-06-11,0.3252477121570515,0.0,0.0,0.0,10.570929746561266
2018-06-18,0.29452918734873085,0.0,0.0,0.0,10.436065740022803
2018-06-25,0.16700941561729937,0.0,0.0,0.0,9.692949440250187
2018-07-02,0.118054252848241,0.8287081325601393,0.0,0.0,12.517257118383798
2018-07-09,0.08162254632770816,0.9734822992163893,0.0,0.0,12.347788337734032
2018-07-16,0.1473992257579177,0.0,0.0,0.0,9.946435284332711
2018-07-23,0.34686483551846314,0.0,0.0,0.0,8.312649879805615
2018-07-30,0.2787508451444404,0.9000915471110414,0.0,0.0,10.624284381396432
2018-08-06,0.9217689424312006,0.9927272769076674,0.0,0.0,10.750745012815504
2018-08-13,0.05216398328732735,0.0,0.0,0.0,8.205431852935037
2018-08-20,0.09085495432880225,0.0,0.0,0.0,5.50990627153681
2018-08-27,0.01755351198401689,0.0,0.0,0.0,3.501000609462462
2018-09-03,0.3330014182050465,0.0,0.0,0.0,3.6928506915549644
2018-09-10,0.12130905583568596,0.8160569098577021,0.0,0.0,6.284056292863546
2018-09-17,0.19655372291807488,0.8689588230629546,0.0,0.0,6.287270899149541
2018-09-24,0.3806629221195118,0.0,0.0,0.0,5.707776702157665
2018-10-01,0.21780820314843713,0.0,0.0,0.0,3.9094193453453587
2018-10-08,0.0769308749654753,0.8612278364937089,0.0,0.0,6.0927822287763975
2018-10-15,0.9685251479028669,0.0,0.0,0.0,6.4674517387094985
2018-10-22,0.3479353724562088,0.0,0.0,0.0,6.262610246526878
2018-10-29,0.018829517861506273,0.8850033809445875,0.0,0.0,8.511438188296998
2018-11-05,0.1936615577210351,0.82247002897723,0.0,0.0,10.074450567207975
2018-11-12,0.05965325722435544,0.0,0.0,0.0,9.267376203345481
2018-11-19,0.3353144371688362,0.0,0.0,0.0,9.341593007320238
2018-11-26,0.004737822432229644,0.8819270276000974,0.0,0.0,11.896993779546913
2018-12-03,0.015705661554362205,0.0,0.0,0.0,10.88338653987898
2018-12-10,0.4410705809030083,0.0,0.0,0.0,11.394425974651242
2018-12-17,0.099235602361327,0.8526298911726775,0.0,0.0,13.816346217879246
2018-12-24,0.3511607304436136,0.0,0.0,0.0,13.13481592598926
2018-12-31,0.22585605446989487,0.0,0.0,0.0,12.65706935407387
2019-01-07,0.9517343468791305,0.0,0.0,0.0,12.973097755060184
2019-01-14,0.30650772251169195,0.0,0.0,0.0,12.684488192093514
2019-01-21,0.39796092640093883,0.0,0.0,0.0,12.094354108372293
2019-01-28,0.059719052887382496,0.9288464370559595,0.0,0.0,14.498445256874286
2019-02-04,0.3494250532096654,0.9426745688407293,0.0,0.0,14.653452278793912
2019-02-11,0.11598894180692593,0.0,0.0,0.0,12.284303821295168
2019-02-18,0.02584959328919839,0.0,0.0,0.0,10.044163289712458
2019-02-25,0.9803308197829499,0.0,0.0,0.0,10.091082194762361
2019-03-04,0.43167949870055783,0.0,0.0,0.0,9.1427260788145
2019-03-11,0.27071252206189933,0.0,0.0,0.0,8.275656270944681
